id,model,specs,rating,votes,service_rating,price,price_discount,url
141d8d14-0f7c-11ec-8ede-00155d8ed20b,"17.3"" Ноутбук ASUS VivoBook 17 D712DA-AU169 серебристый",Full HD (1920x1080); IPS; AMD Ryzen 3 3250U; ядра: 2 х 2.6 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,19,99.04,44999,44999,https://www.dns-shop.ru/product/141d8d140f7ced20/173-noutbuk-asus-vivobook-17-d712da-au169-serebristyj/
71c92c9b-5e1a-11ec-8f4a-00155d8ed20c,"17.3"" Ноутбук ASUS VivoBook 17 F712JA-BX665W серебристый",1600x900; IPS; Intel Core i3-1005G1; ядра: 2 х 1.2 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,0.0,0,0.0,44999,44999,https://www.dns-shop.ru/product/71c92c9b5e1aed20/173-noutbuk-asus-vivobook-17-f712ja-bx665w-serebristyj/
253222e4-1c3f-11ed-9003-00155d8ed209,"15.6"" Ноутбук MSI Modern 15 B12M-210RU черный",Full HD (1920x1080); IPS; Intel Core i5-1235U; ядра: 2 + 8; RAM 8 ГБ; SSD 256 ГБ; Intel Iris Xe Graphics; Windows 11 Home Single Language,3.5,5,100.0,53499,45499,https://www.dns-shop.ru/product/253222e41c3fed20/156-noutbuk-msi-modern-15-b12m-210ru-cernyj/
f00a962b-74dc-11ec-8f5f-00155d8ed20b,"14"" Ультрабук MSI Modern 14 B11MOU-1051RU серый",Full HD (1920x1080); IPS; Intel Core i5-1155G7; ядра: 4 х 2.5 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel Iris Xe Graphics; Windows 11 Home Single Language,4.5,232,99.51,45999,45999,https://www.dns-shop.ru/product/f00a962b74dced20/14-ultrabuk-msi-modern-14-b11mou-1051ru-seryj/
2ca021b3-0173-11ec-a2a6-00155dfc8232,"15.6"" Ноутбук ASUS ExpertBook B1500CEAE-BQ1757 черный",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; без ОС,4.5,21,99.53,45999,45999,https://www.dns-shop.ru/product/2ca021b30173c823/156-noutbuk-asus-expertbook-b1500ceae-bq1757-cernyj/
15f25c51-ec41-11ec-8fd4-00155d8ed20b,"15.6"" Ультрабук HUAWEI MateBook D 15 BoM-WDQ9 серебристый",Full HD (1920x1080); IPS; AMD Ryzen 5 5500U; ядра: 6 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; Windows 11 Home Single Language,4.5,345,99.7,49999,45999,https://www.dns-shop.ru/product/15f25c51ec41ed20/156-ultrabuk-huawei-matebook-d-15-bom-wdq9-serebristyj/
38048fef-1c3f-11ed-9003-00155d8ed209,"14"" Ультрабук MSI Modern 14 C12M-229RU черный",Full HD (1920x1080); IPS; Intel Core i5-1235U; ядра: 2 + 8; RAM 16 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; Windows 11 Home Single Language,4.5,45,99.86,54999,46699,https://www.dns-shop.ru/product/38048fef1c3fed20/14-ultrabuk-msi-modern-14-c12m-229ru-cernyj/
04dc37af-2f3f-11ed-9019-00155d8ed209,"14"" Ноутбук ASUS VivoBook 14 K413EP-EB347 черный",Full HD (1920x1080); IPS; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 256 ГБ; GeForce MX330 2 ГБ; без ОС,0.0,0,100.0,51999,46799,https://www.dns-shop.ru/product/04dc37af2f3fed20/14-noutbuk-asus-vivobook-14-k413ep-eb347-cernyj/
13ba7f6a-2f3f-11ed-9019-00155d8ed209,"14"" Ноутбук ASUS VivoBook 14 K413EP-EK368 черный",Full HD (1920x1080); TN+film; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 256 ГБ; GeForce MX330 2 ГБ; без ОС,5.0,2,0.0,51999,46799,https://www.dns-shop.ru/product/13ba7f6a2f3fed20/14-noutbuk-asus-vivobook-14-k413ep-ek368-cernyj/
57759ae8-5e1a-11ec-8f4a-00155d8ed20c,"15.6"" Ноутбук ASUS Laptop 15 F515JA-BQ2801 серебристый",Full HD (1920x1080); IPS; Intel Core i5-1035G1; ядра: 4 х 1 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; без ОС,4.0,15,99.0,46799,46799,https://www.dns-shop.ru/product/57759ae85e1aed20/156-noutbuk-asus-laptop-15-f515ja-bq2801-serebristyj/
